team,squad_value_eur_m,source
France,1520,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
England,1360,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Spain,1220,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Portugal,1010,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Germany,947,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Brazil,928.2,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Argentina,807.5,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Netherlands,754.2,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Norway,589.9,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Belgium,547.5,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Ivory Coast,522.1,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Senegal,478.1,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Turkey,473.7,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Morocco,447.7,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Sweden,406.08,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Croatia,387.3,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
United States,385.6,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Ecuador,368.7,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Uruguay,359.3,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Switzerland,332.5,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Colombia,302.35,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Japan,270.85,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Algeria,256.9,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Austria,245.2,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Ghana,234.5,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Canada,198.65,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Mexico,191.85,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Czech Republic,188.18,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Scotland,170.25,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Paraguay,153.65,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Bosnia and Herzegovina,146.4,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
DR Congo,143.9,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
South Korea,139.05,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Egypt,116.48,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Uzbekistan,85.33,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Australia,77.45,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Tunisia,69.95,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Haiti,55.9,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Cape Verde,49.25,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
South Africa,49.25,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Saudi Arabia,40.68,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Panama,34.55,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
New Zealand,34.45,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Iran,32.05,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Curaçao,25.78,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Iraq,21.2,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Jordan,20.3,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
Qatar,19.93,"Transfermarkt total squad value, WC2026 snapshot (planetfootball compilation, 2026-06-01)"
