team,squad_value_eur_m,source
France,1037,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Spain,1001,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Brazil,948,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Germany,896,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
England,668,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Belgium,602,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Argentina,529,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Portugal,355,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Croatia,291,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Uruguay,280,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Senegal,252,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Denmark,200,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Poland,200,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Colombia,196,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Serbia,181,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Switzerland,161,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Egypt,150,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Russia,105,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Mexico,101,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Nigeria,100,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Morocco,90,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Sweden,86,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
South Korea,63,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Iceland,56,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Japan,53,"Transfermarkt 23-man squad value, WC2018 (Goal.com, Jun 2018)"
Iran,39,"approx: $45m (howmuch.net/theScore, Jun 2018) converted at ~1.17 USD/EUR"
Peru,43,"approx: bottom-table, not individually sourced to one article (Jun 2018 ~EUR 30-45m band)"
Australia,38,"approx: bottom-table, not individually sourced to one article (Jun 2018 ~EUR 30-45m band)"
Costa Rica,33,"approx: bottom-table, not individually sourced to one article (Jun 2018 ~EUR 30-45m band)"
Tunisia,31,"approx: bottom-table, not individually sourced to one article (Jun 2018 ~EUR 30-45m band)"
Saudi Arabia,30,"approx: bottom-table, not individually sourced to one article (Jun 2018 ~EUR 30-45m band)"
Panama,8,"approx: $9m (howmuch.net, Jun 2018) converted at ~1.17 USD/EUR — lowest-valued squad"
