team,delta_elo
Algeria,36.38832950764584
Argentina,-69.65155828789008
Australia,-1.0853326924049043
Austria,63.35646743640167
Belgium,66.11512573228929
Bosnia and Herzegovina,255.03335809587026
Brazil,61.425909357661304
Canada,-68.73992128586296
Cape Verde,217.5576724729083
Colombia,-42.89093278672667
Croatia,13.528779178517274
Curaçao,212.45023307434474
Czech Republic,122.01019764796595
DR Congo,119.15804589113539
Ecuador,-40.2864950694738
Egypt,107.3080111324124
England,52.268979336219275
France,47.6013902722516
Germany,94.29182269930307
Ghana,286.0067078049935
Haiti,107.27808834757555
Iran,-6.334782357865681
Iraq,143.46475143280747
Ivory Coast,121.03722206629216
Japan,24.521669223239368
Jordan,83.66056238265938
Mexico,-93.9399447527857
Morocco,36.776654370257816
Netherlands,65.79323818851954
New Zealand,122.59559759916529
Norway,76.40924218384315
Panama,-12.307843740923241
Paraguay,2.720046844611317
Portugal,82.11933826528272
Qatar,286.74066153815136
Saudi Arabia,188.19771578068406
Scotland,99.00117817678603
Senegal,82.01995230904942
South Africa,211.78767746618294
South Korea,30.612072301409327
Spain,-45.88004983963999
Sweden,206.88826943707744
Switzerland,30.595931642153992
Tunisia,170.62479552800912
Turkey,10.030596129853366
United States,63.4262531465996
Uruguay,17.596662591253835
Uzbekistan,49.82819774429717
