date,home,away,score,p_observed,rps,log_loss,brier
2026-06-11,Mexico,South Africa,2-0,0.866,0.009490000000000002,0.1438703704197019,0.029384000000000004
2026-06-11,South Korea,Czech Republic,2-1,0.442,0.1940465,0.816445396904439,0.4676090000000001
2026-06-12,Canada,Bosnia and Herzegovina,1-1,0.138,0.328645,1.9805015938249322,1.400334
2026-06-12,United States,Paraguay,4-1,0.379,0.248933,0.9702190738997107,0.579662
2026-06-13,Qatar,Switzerland,1-1,0.1999,0.24744892500000001,1.6099380374757828,1.13505786
2026-06-13,Brazil,Morocco,1-1,0.2775,0.140753125,1.2819343457956478,0.80356451
2026-06-13,Haiti,Scotland,0-1,0.4667,0.17512622499999997,0.7620686260263672,0.42681534
2026-06-13,Australia,Turkey,2-0,0.2838,0.35090979999999994,1.2594855142561947,0.7811181599999999
2026-06-14,Germany,Curaçao,7-1,0.7537,0.03322744999999999,0.2827608681327128,0.09542293999999998
2026-06-14,Ivory Coast,Ecuador,1-0,0.2229,0.43163545000000003,1.501032038590314,0.93498774
2026-06-14,Netherlands,Japan,2-2,0.2854,0.12913017999999998,1.253863573939401,0.76891352
2026-06-14,Sweden,Tunisia,5-1,0.4093,0.22137309,0.8933068954837797,0.52362954
