team,group,elo,win_group,reach_r32,reach_r16,reach_qf,reach_sf,reach_final,reach_champion
Spain,H,2219,0.83592,0.99826,0.82042,0.63712,0.53898,0.39796,0.26924
Argentina,J,2190,0.8435,0.9912,0.7237,0.60092,0.44712,0.3076,0.1912
France,I,2125,0.65202,0.97008,0.7433,0.50176,0.32744,0.173,0.09392
Mexico,A,1980,0.76166,0.98768,0.73576,0.44284,0.25818,0.1291,0.06258
England,L,2091,0.60386,0.97886,0.69076,0.38728,0.2319,0.12312,0.06056
Brazil,C,2069,0.57028,0.9564,0.61066,0.37026,0.2021,0.09486,0.04462
Colombia,K,2064,0.49024,0.94892,0.61278,0.33132,0.17276,0.08978,0.04006
Portugal,K,2046,0.42966,0.9315,0.57958,0.2912,0.1456,0.07402,0.03076
Ecuador,E,2028,0.49102,0.95992,0.60136,0.31112,0.1601,0.06694,0.02746
Canada,B,1899,0.5697,0.98664,0.67344,0.34646,0.14522,0.05968,0.02308
Netherlands,F,2011,0.4814,0.93674,0.50196,0.27756,0.1316,0.05104,0.0195
Germany,E,2005,0.4223,0.94726,0.5597,0.27404,0.1306,0.05,0.01856
Japan,F,1994,0.42768,0.9231,0.47176,0.25438,0.11342,0.04196,0.0147
Morocco,C,1985,0.3171,0.87944,0.45462,0.23072,0.1018,0.03588,0.01226
Uruguay,H,1975,0.1546,0.9383,0.33196,0.17738,0.08564,0.03596,0.01218
Norway,I,1972,0.21068,0.82096,0.43898,0.21558,0.09076,0.03154,0.01084
Switzerland,B,1956,0.40856,0.9724,0.59624,0.27244,0.09912,0.03454,0.01084
Turkey,D,1969,0.3196,0.76906,0.4708,0.22114,0.078,0.03108,0.01076
Croatia,L,1969,0.26156,0.9055,0.45646,0.17544,0.07694,0.02904,0.01008
Belgium,G,1957,0.47252,0.8948,0.52966,0.24228,0.07634,0.03044,0.00978
United States,D,1827,0.26014,0.70684,0.3966,0.16558,0.05292,0.0189,0.0058
Paraguay,D,1919,0.22312,0.66712,0.35762,0.13952,0.04256,0.0141,0.00384
Senegal,I,1914,0.12134,0.70362,0.31874,0.13176,0.043,0.01342,0.00312
Iran,G,1897,0.3061,0.81242,0.39734,0.1436,0.0365,0.01206,0.0026
Australia,D,1902,0.19714,0.63002,0.31908,0.11814,0.03286,0.0104,0.0025
South Korea,A,1881,0.1549,0.79874,0.35898,0.13392,0.03756,0.00942,0.00218
Austria,J,1890,0.07072,0.6456,0.17316,0.07148,0.02308,0.00738,0.00176
Panama,L,1854,0.12998,0.77634,0.28062,0.0828,0.0259,0.00694,0.00172
Algeria,J,1884,0.06652,0.62756,0.1622,0.0645,0.0199,0.00636,0.00154
Scotland,C,1844,0.08716,0.58226,0.17794,0.05744,0.01612,0.00332,0.00048
Czech Republic,A,1802,0.07008,0.62394,0.21566,0.0608,0.01066,0.00214,0.00036
Ivory Coast,E,1815,0.07866,0.63638,0.19686,0.05562,0.01038,0.002,0.00032
Egypt,G,1810,0.15182,0.62934,0.21622,0.0522,0.00896,0.00178,0.00024
Uzbekistan,K,1821,0.0535,0.47082,0.12998,0.03048,0.00794,0.00158,0.00022
Sweden,F,1771,0.05518,0.45264,0.09778,0.02348,0.00404,0.0007,0.00012
Jordan,J,1775,0.01926,0.3496,0.06106,0.01628,0.00256,0.00038,6e-05
DR Congo,K,1763,0.0266,0.31264,0.0646,0.01016,0.00206,0.00028,4e-05
Iraq,I,1738,0.01596,0.21508,0.04636,0.00956,0.00136,0.00026,4e-05
Saudi Arabia,H,1693,0.00606,0.30736,0.04208,0.00816,0.00096,0.00012,2e-05
New Zealand,G,1732,0.06956,0.40686,0.09318,0.01518,0.00198,0.00024,2e-05
Haiti,C,1707,0.02546,0.2801,0.04978,0.01022,0.0016,0.0002,2e-05
Tunisia,F,1738,0.03574,0.36316,0.06566,0.01412,0.00208,0.00032,2e-05
Cape Verde,H,1654,0.00342,0.22796,0.02518,0.0035,0.00028,2e-05,0.0
Curaçao,E,1606,0.00802,0.15278,0.01786,0.00242,8e-05,2e-05,0.0
South Africa,A,1663,0.01336,0.2422,0.04494,0.00638,0.00038,6e-05,0.0
Bosnia and Herzegovina,B,1652,0.01664,0.38802,0.06092,0.00912,0.00058,6e-05,0.0
Qatar,B,1566,0.0051,0.19536,0.01784,0.00174,4e-05,0.0,0.0
Ghana,L,1625,0.0046,0.09822,0.00786,0.0006,4e-05,0.0,0.0
